,posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz
0,0.585,5.059,124.123,-70.24599765716516,-13.861772745021458,-61.73369777430648,0.009040827307157702,0.024212667281478417,0.9912227294687976,-10.15,-10.63,-0.87,0.96,-3.97,-100.78,11.998422564427097,44.10092288228267,20.673562925124298,38.73951560428221,68.08965368559072,-135.0983741220501
1,7.512,5.907,132.179,123.70084645880208,15.143397978499232,143.86228079574266,0.018277346374124984,0.026165463217534744,0.9912307057949338,6.64,5.97,-0.32,-2.18,-0.78,-99.51,16.098101608381825,45.438213843957726,25.28872192434777,-81.70473224298411,50.247044577177505,-283.76576046585683
2,9.419,8.527999999999999,129.19299999999998,77.38819900982067,106.36311987663342,-121.175229283337,0.018277346374124984,0.026165463217534744,0.9912307057949338,6.64,5.97,-0.32,-2.18,-0.78,-99.51,16.38922692183791,45.46634406105553,25.45185614590934,-13.294864030873145,19.1001534323242,-115.63658252749909
3,7.218,10.571,128.312,-92.90840016884763,86.2389193752638,-37.18868720979317,0.018277346374124984,0.026165463217534744,0.9912307057949338,6.64,5.97,-0.32,-2.18,-0.78,-99.51,16.680629146880015,45.493154674208725,25.61503045794629,52.242361136233164,24.58494203580564,-145.57162750046996
4,6.127000000000002,10.904000000000002,127.57,-23.23402261643632,7.091594437464068,-15.801690908704105,0.02744581400182261,0.02450640079282476,0.9912601659582454,9.73,1.05,-1.26,-2.73,0.57,-103.32,17.264183272149868,45.54280072921257,25.941482875145432,42.6036896163231,50.132607969921494,-143.52998562803438
5,11.235,6.35,129.589,200.0,-183.35547771469987,81.29001087087832,0.02744581400182261,0.02450640079282476,0.9912601659582454,9.73,1.05,-1.26,-2.73,0.57,-103.32,17.556294487998187,45.56562811602769,26.1047527217344,-62.31389941611807,130.22094694439014,-190.30622052804245
6,12.383,4.162,129.951,42.45719146418136,-80.92015237249899,13.388069085394974,0.02744581400182261,0.02450640079282476,0.9912601659582454,9.73,1.05,-1.26,-2.73,0.57,-103.32,17.994821558886535,45.59736351219146,26.349700395952567,-1.8315340892229115,98.34955165659714,-164.40982526508188
7,11.555,6.858,129.442,-40.034812880765855,130.35489797891887,-24.61077265254744,0.02744581400182261,0.02450640079282476,0.9912601659582454,9.73,1.05,-1.26,-2.73,0.57,-103.32,18.28738320167133,45.61684431551798,26.513021396083538,27.378266268395876,20.70359762526112,-151.51368140618462
8,13.462,5.206,130.227,27.22924252159635,-23.588205897051463,11.208681373598866,0.02879764749318715,0.018388475012388054,0.9913033892040828,-11.66,17.49,0.07,-1.02,-2.0,-97.79,18.87291849944333,45.65176603106337,26.83969879695281,-13.753154984312316,88.66740232969204,-170.5462147527215
9,12.418,7.659,130.054,-41.753319468885,98.10430331147016,-6.9188929771237335,0.02879764749318715,0.018388475012388054,0.9913033892040828,-11.66,17.49,0.07,-1.02,-2.0,-97.79,19.165850842547407,45.66719944635279,27.003046857418962,30.41740798181736,23.10767844291984,-156.87303282946652
10,14.137,12.017,130.503,59.14126470790618,149.93463152824603,15.447602009219839,0.02879764749318715,0.018388475012388054,0.9913033892040828,-11.66,17.49,0.07,-1.02,-2.0,-97.79,19.4588653535492,45.68127632132924,27.16639558592025,-10.837287635716946,-12.19272252586111,-165.29812237461334
11,11.933,6.643,129.217,-89.83451536643028,-200.0,-52.41705388440421,0.019662350813630068,0.01552156127843919,0.9912627327574977,-50.75,-55.45,0.7,0.14,-3.96,-105.77,19.8984957060021,45.699840218067294,27.41141076880053,49.731876179700286,142.11080980049792,-138.22281881947686
12,5.31,-0.589,126.137,-45.066378154748534,-49.21033471465218,-20.95794122250129,-0.04849827835451587,0.08220589640485551,0.9910822423486896,4.62,50.36,0.91,0.53,-1.64,-100.47,21.51051581049718,45.7415339114641,28.30950277679164,145.4348098224806,181.9320513603621,-92.69274091010185
13,14.968,17.261,135.72299999999998,166.77315190551022,200.0,165.5298647925267,-0.008800816851921585,0.09213431937148757,0.9912851347593444,49.54,-48.46,-2.14,0.64,-2.76,-101.43,23.11995018797193,45.741364980027704,29.206595511936595,-107.20143820488407,-75.28582698135652,-287.2307550462596
14,11.709,41.558,124.649,-123.3441828779048,200.0,-200.0,-0.016829477492144418,0.008087461731750725,0.9914193655374296,-5.28,39.93,-0.41,-1.43,-3.61,-103.01,26.461195976246877,45.603544668508526,31.075982249459802,76.37582281081261,-113.6484948704416,-26.909637868348113
15,10.633,38.788,125.07,-44.17439855488959,-113.72033828721581,17.28384924870647,-0.016829477492144418,0.008087461731750725,0.9914193655374296,-5.28,39.93,-0.41,-1.43,-3.61,-103.01,26.749405751833983,45.58267090602857,31.237970489022242,45.76590366418583,51.904526885265426,-151.20146273879826
16,9.96,34.117,127.731,-12.66180012040936,-87.88004214328716,50.063967489464204,-0.016829477492144418,0.008087461731750725,0.9914193655374296,-5.28,39.93,-0.41,-1.43,-3.61,-103.01,27.18083222154075,45.54867253343106,31.48074494933543,43.60310363342058,87.50275028852423,-187.3862835248456
17,10.975,35.093,127.52,33.16885069115384,31.894382536518606,-6.895199503284157,-0.005856713798300441,-0.008534604695962717,0.9914996608864032,18.56,3.01,-1.96,0.51,-1.45,-101.93,27.467826301542768,45.524211959764955,31.64244967295949,14.973648493452457,1.3700941718393267,-144.9371831590928
18,9.366,33.294000000000004,127.013,-54.718585274613154,-61.180071416426,-17.24196565209967,-0.005856713798300441,-0.008534604695962717,0.9914996608864032,18.56,3.01,-1.96,0.51,-1.45,-101.93,27.897328154571127,45.48482335315506,31.88477854149261,59.67171299810215,45.533763565304966,-138.11137466185994
19,9.072,32.781,126.853,-11.417032348258338,-19.921556444409852,-6.213350937828077,-0.005856713798300441,-0.008534604695962717,0.9914996608864032,18.56,3.01,-1.96,0.51,-1.45,-101.93,28.182971749314977,45.45676282318115,32.046172644355785,38.698879567582146,27.175039682785783,-144.02580740541347
20,6.707999999999998,34.326,125.732,-95.5383123181377,62.43937924345303,-45.303912059488965,0.0135884062673673,-0.0012068377365445288,0.9914724230582618,24.17,-31.7,0.82,1.77,-4.58,-105.51,28.468037389497237,45.42725883334903,32.2074348961509,73.89924330424452,-6.1885834791238805,-127.59963343611656
21,6.6179999999999986,35.519,125.896,-3.399690250443843,45.06478298643894,6.194991123031068,0.0135884062673673,-0.0012068377365445288,0.9914724230582618,24.17,-31.7,0.82,1.77,-4.58,-105.51,29.03634847975563,45.3639129349556,32.529546443477685,45.07147346709213,-3.388675168021108,-144.2136588738383
22,4.904,34.951,125.209,-56.790696133328936,-18.81978728339014,-22.762665252973648,0.0135884062673673,-0.0012068377365445288,0.9914724230582618,24.17,-31.7,0.82,1.77,-4.58,-105.51,29.31955076698214,45.33006740359368,32.69038702887886,68.29044901255973,24.30745285321314,-132.5366135836426
23,2.7310000000000003,33.479,124.168,-85.68949879727118,-58.04645293584137,-41.05051461019744,0.026653274987428217,0.02064204782996128,0.9914938454885326,3.89,2.7,-0.28,1.18,-3.33,-101.99,29.602088777179798,45.294771167115485,32.851078343174386,79.02067953313721,40.101317185198496,-125.34219728678349
24,1.645,34.496,123.905,-46.547511894046536,43.590073293043716,-11.272555827011495,0.026653274987428217,0.02064204782996128,0.9914938454885326,3.89,2.7,-0.28,1.18,-3.33,-101.99,29.883940936561004,45.25802256166536,33.01161602320117,64.85291966111885,1.0901463400628693,-136.34954764317223
25,4.084,36.932,124.909,40.927625727853936,40.877284244793856,16.847616330777186,0.026653274987428217,0.02064204782996128,0.9914938454885326,3.89,2.7,-0.28,1.18,-3.33,-101.99,30.585429217995912,45.159786550431576,33.41225941298088,15.544568093777213,-25.095915284329344,-152.70023187492455
