posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz,tangx,tangy,tangz,tgyrx,tgyry,tgryz,taccx,taccy,taccz
93.955,144.893,112.212,-13.280454635243277,-8.949871602011802,1.8537934387868273,-0.0018422635586965782,-0.011393884324679053,-0.05877046080669602,-12.93,6.91,1.02,2.01,2.75,-97.9,61.106740881500976,132.50488976826114,123.09163211574852,-85.43961619447738,-30.893733565496298,32.865605594138245,0.0,0.0,-0.05877046080669602,0.0,0.0,0.0,0.0,0.0,-97.9
92.809,144.27,112.465,-48.366675107622214,-26.293576432851797,10.677808727948008,-0.01306541847569451,-0.020256889005745914,-0.057684507575128066,-10.14,5.83,0.39,0.65,-0.56,-99.8,59.96277287735431,131.98333063169625,123.53391901946415,-64.34812522258551,-22.560259010348855,24.53438483388412,0.0,0.0,-0.057684507575128066,0.0,0.0,0.0,0.0,0.0,-99.8
92.153,143.668,112.645,-19.147135226642295,-17.57099909518122,5.253787104871212,-0.01306541847569451,-0.020256889005745914,-0.057684507575128066,-10.14,5.83,0.39,0.65,-0.56,-99.8,58.81552683360391,131.45738010840216,123.97390686519863,-72.71013806239246,-22.792072836942996,26.104475141806606,0.0,0.0,-0.057684507575128066,0.0,0.0,0.0,0.0,0.0,-99.8
91.362,143.473,112.771,-22.70574389298766,-5.5974969142002236,3.6168441599450234,-0.01306541847569451,-0.020256889005745914,-0.057684507575128066,-10.14,5.83,0.39,0.65,-0.56,-99.8,57.66507802064715,130.9270571325422,124.41158674321446,-71.43769927388283,-29.61989265811705,27.490748186937683,0.0,0.0,-0.057684507575128066,0.0,0.0,0.0,0.0,0.0,-99.8
90.612,143.319,112.809,-20.61175694616209,-4.23228075961263,1.0443290186054552,-0.01807076291851364,-0.011322049802588621,-0.05679579553834235,-5.27,-10.57,-0.45,1.57,0.03,-105.09,56.51150191902199,130.39238079568557,124.84694979050772,-72.89061776309433,-31.046318693305192,29.554827298794166,0.0,0.0,-0.05679579553834235,0.0,0.0,0.0,0.0,0.0,-105.09
89.015,143.095,112.763,-28.090974653040302,-3.940124184270981,-0.8091326449841211,-0.01807076291851364,-0.011322049802588621,-0.05679579553834235,-5.27,-10.57,-0.45,1.57,0.03,-105.09,54.19527079282778,129.31004518817144,125.7106901756762,-79.0351361389708,-39.893545543895996,39.02357852185249,0.0,0.0,-0.05679579553834235,0.0,0.0,0.0,0.0,0.0,-105.09
87.939,142.563,112.814,-30.54648687012087,-15.102909865152894,1.4478353442154073,-0.02417922726512819,-0.008226986090781548,-0.057470488753783994,-9.6,3.19,-1.44,0.71,2.52,-100.97,53.03276773535609,128.7624248814783,126.13905002283742,-69.71376110077728,-27.28343183269957,31.777495752179817,0.0,0.0,-0.057470488753783994,0.0,0.0,0.0,0.0,0.0,-100.97
86.888,142.126,112.964,-29.401068621142688,-12.22480208129307,4.196156320810297,-0.02417922726512819,-0.008226986090781548,-0.057470488753783994,-9.6,3.19,-1.44,0.71,2.52,-100.97,51.86744131342805,128.2105291403164,126.56505805820511,-70.35519135460174,-28.99775900240862,30.798194324597237,0.0,0.0,-0.057470488753783994,0.0,0.0,0.0,0.0,0.0,-100.97
85.602,141.505,113.116,-35.694459864549835,-17.23659376040883,4.218940823803737,-0.02417922726512819,-0.008226986090781548,-0.057470488753783994,-9.6,3.19,-1.44,0.71,2.52,-100.97,50.69936798369626,127.65437783287219,126.98870565512968,-66.64025869793215,-26.174489059233522,31.265217037922664,0.0,0.0,-0.057470488753783994,0.0,0.0,0.0,0.0,0.0,-100.97
84.369,140.76,113.334,-34.848227912498,-21.055904132044674,6.1613249674976975,-0.03222925476757496,-0.0140448269243248,-0.058405001047501626,-2.11,13.29,-0.92,1.21,0.55,-105.94,49.52862438302876,127.09399098053265,127.40998423476242,-67.35329021927606,-24.01618046324892,30.638107794625395,0.0,0.0,-0.058405001047501626,0.0,0.0,0.0,0.0,0.0,-105.94
83.138,140.652,113.531,-22.297493116939474,-1.9562382263440823,3.568323431386805,-0.03222925476757496,-0.0140448269243248,-0.058405001047501626,-2.11,13.29,-0.92,1.21,0.55,-105.94,47.17943378732146,125.96059148838452,128.24540026679114,-87.25164871245963,-44.176153064988185,38.416465003341344,0.0,0.0,-0.058405001047501626,0.0,0.0,0.0,0.0,0.0,-105.94
82.093,140.119,113.674,-30.090126407325336,-15.34740418670238,4.117596245212954,-0.03222925476757496,-0.0140448269243248,-0.058405001047501626,-2.11,13.29,-0.92,1.21,0.55,-105.94,46.00114092183393,125.38761965083589,128.659520802041,-72.73943677551839,-29.473083047591388,33.43842880074806,0.0,0.0,-0.058405001047501626,0.0,0.0,0.0,0.0,0.0,-105.94
80.747,139.589,113.79,-36.56515715411164,-14.39787020184187,3.151231968704997,-0.02409584007259412,-0.022177765882167525,-0.05921058867483414,12.7,5.16,-0.68,-1.34,2.18,-97.69,44.82048603440285,124.81049387144168,129.07123848604874,-67.93579068403659,-29.672758702887414,34.38699269277185,0.0,0.0,-0.05921058867483414,0.0,0.0,0.0,0.0,0.0,-97.69
79.493,138.779,114.022,-36.495925494761494,-23.573923166472706,6.752037252619305,-0.02409584007259412,-0.022177765882167525,-0.05921058867483414,12.7,5.16,-0.68,-1.34,2.18,-97.69,43.63754658737393,124.22923492666764,129.4805449815461,-69.21078039418073,-25.0864237153419,32.95834559629078,0.0,0.0,-0.05921058867483414,0.0,0.0,0.0,0.0,0.0,-97.69
78.074,138.365,114.0,-63.4416774712745,-18.50941118612184,-0.9835918987797009,-0.02409584007259412,-0.022177765882167525,-0.05921058867483414,12.7,5.16,-0.68,-1.34,2.18,-97.69,42.45240019298201,123.64386374177299,129.88743200009105,-56.25589375068459,-26.451351521590293,34.12740812556092,0.0,0.0,-0.05921058867483414,0.0,0.0,0.0,0.0,0.0,-97.69
77.071,137.752,114.085,-14.702433304016418,-8.985634711228371,1.2459689240690963,-0.010990248972972514,-0.01958028450410016,-0.05899120223089316,11.02,-9.59,0.38,-1.03,1.24,-98.6,40.07579772991551,122.46086909210048,130.69391469768962,-102.00729653240579,-42.91851095719572,46.42282164950914,0.0,0.0,-0.05899120223089316,0.0,0.0,0.0,0.0,0.0,-98.6
